publish_date,positive,negative,neutral,compound,country,language
2019-03-16,0,0,1,0,Zimbabwe,ENG
2019-03-16,0,0.32,0.68,-0.5106,Zimbabwe,ENG
2019-03-11,0,0,1,0,Zimbabwe,ENG
2019-03-16,0,0.358,0.642,-0.5994,Zimbabwe,ENG
2019-03-16,0,0.394,0.606,-0.5994,Zimbabwe,ENG
2019-03-16,0,0.545,0.455,-0.8555,Zimbabwe,ENG
2019-03-16,0,0.454,0.546,-0.8519,Zimbabwe,ENG
2019-03-11,0,0,1,0,Zimbabwe,ENG
2019-03-16,0.277,0,0.723,0.3182,Zimbabwe,ENG
2019-03-16,0,0,1,0,Zimbabwe,ENG
2019-03-16,0,0.268,0.732,-0.5106,Zimbabwe,ENG
2019-03-16,0,0.515,0.485,-0.6486,Zimbabwe,ENG
2019-03-16,0,0.23,0.77,-0.5848,Zimbabwe,ENG
2019-03-16,0,0,1,0,Zimbabwe,ENG
2019-03-16,0.122,0.472,0.406,-0.8591,Zimbabwe,ENG
2019-03-16,0,0.127,0.873,-0.1531,Zimbabwe,ENG
2019-03-16,0,0,1,0,Zimbabwe,ENG
2019-03-16,0,0.506,0.494,-0.6249,Zimbabwe,ENG
2019-03-16,0,0.451,0.549,-0.6249,Zimbabwe,ENG
2019-03-16,0,0.204,0.796,-0.3182,Zimbabwe,ENG
2019-03-16,0,0.248,0.752,-0.5106,Zimbabwe,ENG
2019-03-17,0,0.417,0.583,-0.6486,Zimbabwe,ENG
2019-03-17,0,0.417,0.583,-0.6486,Zimbabwe,ENG
2019-03-17,0,0.417,0.583,-0.6486,Zimbabwe,ENG
2019-03-16,0,0.478,0.522,-0.7506,Zimbabwe,ENG
2019-03-17,0,0.417,0.583,-0.6486,Zimbabwe,ENG
2019-03-17,0,0.306,0.694,-0.296,Zimbabwe,ENG
2019-03-17,0,0,1,0,Zimbabwe,ENG
2019-03-17,0,0.35,0.65,-0.6486,Zimbabwe,ENG
2019-03-17,0,0.35,0.65,-0.6486,Zimbabwe,ENG
2019-03-17,0,0,1,0,Zimbabwe,ENG
2019-03-17,0,0.321,0.679,-0.6369,Zimbabwe,ENG
2019-03-17,0,0.559,0.441,-0.5859,Zimbabwe,ENG
2019-03-17,0,0.362,0.638,-0.5267,Zimbabwe,ENG
2019-03-17,0,0.441,0.559,-0.743,Zimbabwe,ENG
2019-03-17,0,0.559,0.441,-0.5859,Zimbabwe,ENG
2019-03-17,0,0.328,0.672,-0.5994,Zimbabwe,ENG
2019-03-17,0,0.412,0.588,-0.5423,Zimbabwe,ENG
2019-03-17,0,0.562,0.438,-0.8271,Zimbabwe,ENG
2019-03-17,0,0.358,0.642,-0.5994,Zimbabwe,ENG
2019-03-17,0,0,1,0,Zimbabwe,ENG
2019-03-17,0,0.249,0.751,-0.6486,Zimbabwe,ENG
2019-03-17,0.268,0,0.732,0.5106,Zimbabwe,ENG
2019-03-17,0,0.155,0.845,-0.296,Zimbabwe,ENG
2019-03-17,0,0.438,0.562,-0.5994,Zimbabwe,ENG
2019-03-17,0,0.573,0.427,-0.92,Zimbabwe,ENG
2019-03-17,0,0.149,0.851,-0.5423,Zimbabwe,ENG
2019-03-17,0,0,1,0,Zimbabwe,ENG
2019-03-17,0,0.281,0.719,-0.5994,Zimbabwe,ENG
2019-03-17,0.139,0,0.861,0.4404,Zimbabwe,ENG
2019-03-17,0.3,0,0.7,0.7184,Zimbabwe,ENG
2019-03-17,0.193,0,0.807,0.4767,Zimbabwe,ENG
2019-03-17,0.211,0.32,0.469,-0.34,Zimbabwe,ENG
2019-03-18,0,0,1,0,Zimbabwe,ENG
2019-03-18,0.189,0,0.811,0.5664,Zimbabwe,ENG
2019-03-18,0,0.281,0.719,-0.5994,Zimbabwe,ENG
2019-03-18,0,0.387,0.613,-0.743,Zimbabwe,ENG
2019-03-18,0,0.328,0.672,-0.5994,Zimbabwe,ENG
2019-03-18,0,0.262,0.738,-0.5994,Zimbabwe,ENG
2019-03-18,0,0.328,0.672,-0.5994,Zimbabwe,ENG
2019-03-18,0,0.492,0.508,-0.8927,Zimbabwe,ENG
2019-03-18,0,0,1,0,Zimbabwe,ENG
2019-03-18,0,0,1,0,Zimbabwe,ENG
2019-03-18,0,0,1,0,Zimbabwe,ENG
2019-03-18,0,0,1,0,Zimbabwe,ENG
2019-03-18,0,0.304,0.696,-0.5423,Zimbabwe,ENG
2019-03-18,0,0.655,0.345,-0.6908,Zimbabwe,ENG
2019-03-18,0,0,1,0,Zimbabwe,ENG
2019-03-11,0,0.358,0.642,-0.5994,Zimbabwe,ENG
2019-03-18,0.082,0.437,0.481,-0.7322,Zimbabwe,ENG
2019-03-18,0,0.127,0.873,-0.1531,Zimbabwe,ENG
2019-03-18,0,0.059,0.941,-0.0516,Zimbabwe,ENG
2019-03-18,0,0.308,0.692,-0.4588,Zimbabwe,ENG
2019-03-18,0.176,0.329,0.495,-0.5267,Zimbabwe,ENG
2019-03-15,0,0,1,0,Zimbabwe,ENG
2019-03-18,0.132,0.429,0.44,-0.5719,Zimbabwe,ENG
2019-03-18,0,0.277,0.723,-0.3182,Zimbabwe,ENG
2019-03-18,0,0,1,0,Zimbabwe,ENG
2019-03-18,0,0,1,0,Zimbabwe,ENG
2019-03-18,0,0.421,0.579,-0.8402,Zimbabwe,ENG
2019-03-18,0,0,1,0,Zimbabwe,ENG
2019-03-18,0,0,1,0,Zimbabwe,ENG
2019-03-15,0,0,1,0,Zimbabwe,ENG
2019-03-18,0,0,1,0,Zimbabwe,ENG
2019-03-18,0.286,0,0.714,0.4215,Zimbabwe,ENG
2019-03-18,0,0.302,0.698,-0.6369,Zimbabwe,ENG
2019-03-18,0,0.484,0.516,-0.8176,Zimbabwe,ENG
2019-03-18,0,0.318,0.682,-0.4215,Zimbabwe,ENG
2019-03-18,0.238,0.189,0.574,0.1531,Zimbabwe,ENG
2019-03-19,0,0,1,0,Zimbabwe,ENG
2019-03-19,0,0.328,0.672,-0.5994,Zimbabwe,ENG
2019-03-19,0,0,1,0,Zimbabwe,ENG
2019-03-19,0,0.328,0.672,-0.5994,Zimbabwe,ENG
2019-03-19,0,0.441,0.559,-0.7964,Zimbabwe,ENG
2019-03-19,0,0.484,0.516,-0.8176,Zimbabwe,ENG
2019-03-19,0,0.441,0.559,-0.7964,Zimbabwe,ENG
2019-03-19,0.098,0.366,0.536,-0.7906,Zimbabwe,ENG
2019-03-19,0.382,0.255,0.364,0.1027,Zimbabwe,ENG
