Country,Emergency/Collective Center,Host Community/Family,Other/Unclassified,Resettlement Site,Return,Spontaneous/Informal
Mozambique,12.16617211,0,53.48664688,32.41839763,0,1.928783383
Zimbabwe,1.040416166,26.8507403,47.09883954,0,25.010004,0
